step,time_s,position_plain,velocity_plain,position_encrypted,velocity_encrypted,u_plain,u_encrypted,state_error,control_error,encrypt_ms,he_dot_ms,decrypt_ms,enc_x_serialized_bytes,enc_u_serialized_bytes
35,1.750000,0.004651891101,-0.015852761590,0.004651860700,-0.015852766443,0.051014433691,0.051014369119,3.078668643197e-08,6.457149898109e-08,4.004353,2.957061,1.112543,331696,235159
36,1.800000,0.003921416144,-0.013364430896,0.003921385498,-0.013364435804,0.043012172026,0.043012131685,3.103630238208e-08,4.034165970723e-08,4.033887,3.517005,1.123253,330837,235095
37,1.850000,0.003305607473,-0.011266394885,0.003305576611,-0.011266398625,0.036263421997,0.036263342739,3.108789093515e-08,7.925730577396e-08,4.686764,3.270305,1.152268,331232,235076
38,1.900000,0.002786477420,-0.009497525911,0.002786446351,-0.009497530415,0.030572376691,0.030572339792,3.139310818230e-08,3.689848256799e-08,4.922994,2.976527,1.118013,331444,235058
39,1.950000,0.002348856239,-0.008006241748,0.002348824980,-0.008006244884,0.025773642553,0.025773583604,3.141624279714e-08,5.894974931808e-08,4.127011,3.190536,1.802168,331563,235070
40,2.000000,0.001979951856,-0.006749023948,0.001979920446,-0.006749026823,0.021727570151,0.021727520813,3.154094406728e-08,4.933780758942e-08,6.172102,3.881193,1.133011,331107,235096
41,2.050000,0.001668978011,-0.005689163365,0.001668946476,-0.005689165497,0.018316284411,0.018316158343,3.160676810270e-08,1.260676746988e-07,4.027306,3.313866,1.810574,331568,235205
42,2.100000,0.001406840306,-0.004795698899,0.001406808588,-0.004795704082,0.015440315140,0.015440301346,3.213864298293e-08,1.379323215714e-08,6.303207,4.517099,1.818739,331069,235118
43,2.150000,0.001185871216,-0.004042520323,0.001185839304,-0.004042522915,0.013015740846,0.013015679536,3.201735397948e-08,6.131050199823e-08,6.350104,4.395291,1.806627,331708,235122
44,2.200000,0.000999606483,-0.003407610230,0.000999574446,-0.003407612628,0.010971770256,0.010971688877,3.212664659454e-08,8.137964913058e-08,4.796109,2.949026,1.118314,331422,234724
45,2.250000,0.000842596466,-0.002872403834,0.000842564289,-0.002872407021,0.009248696212,0.009248689825,3.233421284220e-08,6.387305717323e-09,3.968997,3.162504,1.115499,330288,235036
46,2.300000,0.000710247011,-0.002421248473,0.000710214749,-0.002421248713,0.007796165823,0.007796092178,3.226308535997e-08,7.364492864495e-08,4.000195,4.118566,1.795446,331542,235142
47,2.350000,0.000598685247,-0.002040947440,0.000598652961,-0.002040948124,0.006571718804,0.006571655907,3.229259065356e-08,6.289632834867e-08,6.063400,4.065556,1.138452,331638,235071
48,2.400000,0.000504646396,-0.001720375074,0.000504614079,-0.001720375656,0.005539552996,0.005539478366,3.232226537774e-08,7.462978453016e-08,3.962294,2.982338,1.113585,331458,235069
49,2.450000,0.000425378340,-0.001450152030,0.000425345982,-0.001450153090,0.004669482131,0.004669411784,3.237550378737e-08,7.034674612705e-08,3.980508,2.995702,1.127001,331230,235024
50,2.500000,0.000358561143,-0.001222371383,0.000358528726,-0.001222372692,0.003936056173,0.003935974941,3.244384141516e-08,8.123206504240e-08,4.054887,3.973315,1.161074,331465,235024
