step,time_s,sensor_position,sensor_velocity,u_from_encrypted_controller,u_plain_validation,control_error,next_position,next_velocity,state_change_norm,encrypt_ms,he_dot_ms,decrypt_ms,enc_x_serialized_bytes,enc_u_serialized_bytes
26,1.300000,0.021615592794,-0.073503570118,0.235699052933,0.235699675710,6.227771615630e-07,0.018227490662,-0.062011931988,1.198069209095e-02,3.953709,2.972339,1.152117,331478,235135
27,1.350000,0.018227490662,-0.062011931988,0.199005973484,0.199006589979,6.164956813659e-07,0.015369303910,-0.052308336157,1.011577992875e-02,4.716410,2.985474,1.137890,331640,235112
28,1.400000,0.015369303910,-0.052308336157,0.167972717635,0.167973386958,6.693227653232e-07,0.012958512254,-0.044117282025,8.538459123105e-03,3.961543,2.963092,1.749982,331521,235071
29,1.450000,0.012958512254,-0.044117282025,0.141743061333,0.141743676650,6.153166386969e-07,0.010925331876,-0.037204850551,7.205243321887e-03,4.882820,2.959576,1.120017,331620,235134
30,1.500000,0.010925331876,-0.037204850551,0.119584572478,0.119585255912,6.834341354650e-07,0.009210785663,-0.031372724438,6.078927842448e-03,4.024490,4.211839,1.234792,331603,235082
31,1.550000,0.009210785663,-0.031372724438,0.100873383091,0.100874015786,6.326955542257e-07,0.007765054390,-0.026452931562,5.127816383842e-03,4.047423,2.941892,1.118625,331680,235016
32,1.600000,0.007765054390,-0.026452931562,0.085078298308,0.085078939255,6.409467082913e-07,0.006546071659,-0.022303352444,4.324919160950e-03,3.955341,2.951190,1.116150,331599,234876
33,1.650000,0.006546071659,-0.022303352444,0.071748569456,0.071749205922,6.364661959551e-07,0.005518328824,-0.018803814314,3.647330868177e-03,4.027235,2.957010,1.107985,331567,235113
34,1.700000,0.005518328824,-0.018803814314,0.060501871518,0.060502502825,6.313067413416e-07,0.004651860700,-0.015852766443,3.075621976589e-03,4.285887,3.629133,1.120047,331676,235087
35,1.750000,0.004651860700,-0.015852766443,0.051014369119,0.051015022175,6.530559744644e-07,0.003921385498,-0.013364435804,2.593334415664e-03,4.004353,2.957061,1.112543,331696,235159
36,1.800000,0.003921385498,-0.013364435804,0.043012131685,0.043012765365,6.336807462509e-07,0.003305576611,-0.011266398625,2.186545354753e-03,4.033887,3.517005,1.123253,330837,235095
37,1.850000,0.003305576611,-0.011266398625,0.036263342739,0.036264009308,6.665689601254e-07,0.002786446351,-0.009497530415,1.843472530757e-03,4.686764,3.270305,1.152268,331232,235076
38,1.900000,0.002786446351,-0.009497530415,0.030572339792,0.030572974205,6.344132026728e-07,0.002348824980,-0.008006244884,1.554170196224e-03,4.922994,2.976527,1.118013,331444,235058
